noteID,noteName,chorusNumber,sectionNumber,measureNumber,chordName,chordType,downBeat,chordTone,noteDuration,startedBeat,triad,halfStepsMoved,directionMoved,diatonic,intervalFromChordRoot
1,D,0,0,0,C,7,1,0,1,4,1,0,0,1,2
2,F,1,0,1,F,7,1,1,1,1,1,3,1,1,0
4,F,1,0,2,Bb,7,1,1,1,2,1,12,0,1,7
5,A,1,0,2,Bb,7,1,0,1,3,1,4,1,0,11
7,C,1,0,3,F,7,0,1,0.5,4.5,1,3,1,1,7
8,F,1,0,4,F,7,1,1,0.166,1,1,5,1,1,0
9,G,1,0,4,F,7,0,0,0.166,1.2,0,2,1,1,2
10,F,1,0,4,F,7,0,1,0.166,1.3,0,2,0,1,0
11,Eb,1,0,4,F,7,0,1,0.5,1.5,0,2,1,1,10
12,F,1,0,4,F,7,1,1,1,2,0,2,0,1,0
13,Eb,1,0,4,F,7,1,1,1,3,1,2,0,1,10
14,C,1,0,4,F,7,1,1,1,4,1,3,1,1,7
15,F,1,0,5,Bb,7,1,1,1,1,1,4,0,1,7
17,F,1,0,5,Bb,7,0,1,1,3.5,1,12,0,1,7
18,Ab,1,0,5,Bb,7,0,1,1,4.5,1,3,1,1,10
19,Ab,1,0,6,Bb,7,0,1,1.5,1.5,1,0,9,1,10
21,C,1,0,7,F,7,0,1,0.5,4.5,1,4,1,1,7
22,F,1,0,8,D,7,1,0,0.5,1,1,5,1,0,3
23,C,1,0,8,D,7,0,1,0.5,1.5,1,5,0,1,10
24,F,1,0,8,D,7,1,0,0.5,2,1,5,1,0,3
25,Eb,1,0,8,D,7,0,0,1.5,2.5,1,2,0,0,1
26,C,1,0,8,D,7,1,1,0.5,4,1,3,0,1,10
27,A,1,0,8,D,7,0,1,0.5,4.5,1,3,0,1,7
28,Bb,1,0,9,G,minor,1,1,1,1,0,1,0,1,3
30,F,1,0,9,G,minor,0,1,0.5,2.5,0,5,0,1,10
31,G,1,0,9,G,minor,1,1,0.33,3,1,2,1,1,0
32,Bb,1,0,9,G,minor,0,1,0.33,3.3,1,3,1,1,3
33,D,1,0,9,G,minor,0,1,0.33,3.7,1,4,1,1,7
34,A,1,0,9,G,minor,1,0,0.5,4,0,7,1,1,2
35,G,1,0,9,G,minor,0,0,1.5,4.5,0,2,0,1,0
36,D,1,0,10,C,7,1,0,0.5,2,0,5,0,1,2
37,G,1,0,10,C,7,0,1,0.5,2.5,0,5,1,1,7
38,F,1,0,10,C,7,1,0,0.5,3,0,2,0,1,5
39,F,1,0,10,C,7,0,0,0.5,3.5,0,0,0,1,5
40,E,1,0,10,C,7,1,1,0.5,4,0,1,0,1,4
41,D,1,0,10,C,7,0,0,0.5,4.5,0,2,0,1,2
42,C,1,0,11,F,7,1,1,0.5,1,0,2,0,1,7
43,Bb,1,0,11,F,7,0,0,0.5,1.5,0,2,0,1,5
44,G,1,0,11,D,7,1,0,0.5,2,0,3,0,1,5
45,G#,1,0,11,D,7,0,0,0.5,2.5,0,1,1,0,6
46,A,1,0,11,D,7,1,1,1,3,1,1,1,1,7
47,C,1,0,11,D,7,1,1,1,4,1,9,0,1,10
49,F,2,0,13,F,7,0,1,0.5,1.5,1,5,1,1,0
50,Eb,2,0,13,F,7,1,1,0.5,2,0,2,0,1,10
51,C,2,0,13,F,7,0,1,0.5,2.5,0,3,0,1,7
52,F,2,0,13,F,7,1,1,1,3,0,5,1,1,0
53,Eb,2,0,13,F,7,1,1,0.5,4,0,2,0,1,10
54,C,2,0,13,F,7,0,1,0.5,4.5,0,3,0,1,7
55,F,2,0,14,Bb,7,1,1,0.5,1,0,5,1,1,7
56,Eb,2,0,14,Bb,7,0,0,0.5,1.5,0,2,0,1,5
57,Bb,2,0,14,Bb,7,1,1,0.5,2,0,5,0,1,0
58,A,2,0,14,Bb,7,0,0,1,2.5,0,1,0,0,11
60,F,2,0,14,Bb,7,0,1,1.5,4.5,0,8,1,1,7
61,Eb,2,0,15,F,7,1,1,0.5,2,0,2,0,1,10
62,C,2,0,15,F,7,0,1,0.5,2.5,0,3,0,1,7
63,F,2,0,15,F,7,1,1,0.5,3,0,5,1,1,0
64,Eb,2,0,15,F,7,0,1,0.5,3.5,1,2,0,1,10
65,Bb,2,0,15,F,7,1,0,0.5,4,1,5,0,1,5
66,G,2,0,15,F,7,0,0,0.5,4.5,1,3,0,1,2
67,A,2,0,16,F,7,1,1,1,1,0,2,1,1,4
68,F,2,0,16,F,7,1,1,1,2,0,4,0,1,0
69,G,2,0,16,F,7,1,0,0.5,3,0,2,1,1,2
70,F,2,0,16,F,7,0,1,0.5,3.5,1,2,0,1,0
71,C,2,0,16,F,7,1,1,0.5,4,1,5,0,1,7
72,F,2,0,16,F,7,0,1,0.5,4.3,1,5,1,1,0
73,Ab,2,0,17,Bb,7,1,1,0.5,1,1,3,0,1,10
74,C,2,0,17,Bb,7,0,0,2.5,1.5,1,4,1,1,2
75,Bb,2,0,17,Bb,7,1,1,0.5,4,0,2,0,1,0
76,C,2,0,17,Bb,7,0,0,1.5,4.5,0,2,1,1,2
77,Bb,2,0,18,Bb,7,1,1,0.5,2,0,2,0,1,0
78,C,2,0,18,Bb,7,0,0,0.5,2.5,1,2,1,1,2
79,A,2,0,18,Bb,7,1,0,1,3,1,3,0,1,11
80,F,2,0,18,Bb,7,1,1,0.5,4,1,4,0,1,7
81,G,2,0,18,Bb,7,0,0,2.5,4.5,0,2,1,1,9
82,C,2,0,19,F,7,1,1,1,3,0,5,1,1,7
84,C,2,0,21,D,7,0,1,0.5,1.5,0,12,1,1,10
86,G,2,0,21,D,7,0,1,0.5,2.5,0,5,0,1,5
87,F,2,0,21,D,7,1,1,1,3,0,2,1,1,3
89,Bb,2,0,22,G,minor,1,1,1,1,0,5,0,1,3
